PREDICTION_SCORE,FILEPATH,POINT_NO,REEF_NAME,PREDICTION,Y,X
0.324889,NV/Hastings LTMP1 3m/Transect1/P6050586.JPG,2,Hastings LTMP1 3m,OTHER,0.25,0.75
0.478588,NV/Hastings LTMP1 3m/Transect1/P6050576.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.464826,NV/Hastings LTMP1 3m/Transect1/P6050579.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.411124,NV/Hastings LTMP1 3m/Transect1/P6050586.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.614247,NV/Hastings LTMP1 3m/Transect1/P6050581.JPG,1,Hastings LTMP1 3m,HARD CORAL,0.25,0.25
0.968753,NV/Hastings LTMP1 3m/Transect1/P6050579.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.809997,NV/Hastings LTMP1 3m/Transect1/P6050574.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.895189,NV/Hastings LTMP1 3m/Transect1/P6050580.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.563375,NV/Hastings LTMP1 3m/Transect1/P6050576.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.917331,NV/Hastings LTMP1 3m/Transect1/P6050574.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.738451,NV/Hastings LTMP1 3m/Transect1/P6050584.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.957704,NV/Hastings LTMP1 3m/Transect1/P6050576.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.773036,NV/Hastings LTMP1 3m/Transect1/P6050575.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.593524,NV/Hastings LTMP1 3m/Transect1/P6050575.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.953359,NV/Hastings LTMP1 3m/Transect1/P6050579.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.471188,NV/Hastings LTMP1 3m/Transect1/P6050586.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.650559,NV/Hastings LTMP1 3m/Transect1/P6050580.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.426598,NV/Hastings LTMP1 3m/Transect1/P6050573.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.645229,NV/Hastings LTMP1 3m/Transect7/P6060990.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.629515,NV/Hastings LTMP1 3m/Transect7/P6060993.JPG,2,Hastings LTMP1 3m,OTHER,0.25,0.75
0.479671,NV/Hastings LTMP1 3m/Transect7/P6060993.JPG,1,Hastings LTMP1 3m,HARD CORAL,0.25,0.25
0.978322,NV/Hastings LTMP1 3m/Transect7/P6060995.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.718768,NV/Hastings LTMP1 3m/Transect7/P6060989.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.861222,NV/Hastings LTMP1 3m/Transect7/P6060998.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.966406,NV/Hastings LTMP1 3m/Transect7/P6060995.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.505604,NV/Hastings LTMP1 3m/Transect7/P6060995.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.36153,NV/Hastings LTMP1 3m/Transect7/P6060992.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.396657,NV/Hastings LTMP1 3m/Transect7/P6060994.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.79347,NV/Hastings LTMP1 3m/Transect7/P6060990.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.893018,NV/Hastings LTMP1 3m/Transect7/P6060992.JPG,2,Hastings LTMP1 3m,HARD CORAL,0.25,0.75
0.864663,NV/Hastings LTMP1 3m/Transect7/P6060989.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.858901,NV/Hastings LTMP1 3m/Transect7/P6060994.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.81751,NV/Hastings LTMP1 3m/Transect7/P6060993.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.999545,NV/Hastings LTMP1 3m/Transect7/P6060988.JPG,5,Hastings LTMP1 3m,HARD CORAL,0.75,0.75
0.873024,NV/Hastings LTMP1 3m/Transect7/P6060990.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.514928,NV/Hastings LTMP1 3m/Transect7/P6060986.JPG,5,Hastings LTMP1 3m,OTHER,0.75,0.75
0.833764,NV/Hastings LTMP1 3m/Transect7/P6060985.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.9145,NV/Hastings LTMP1 3m/Transect7/P6060994.JPG,5,Hastings LTMP1 3m,SOFT CORAL,0.75,0.75
0.422683,NV/Hastings LTMP1 3m/Transect7/P6060985.JPG,4,Hastings LTMP1 3m,OTHER,0.75,0.25
0.762274,NV/Hastings LTMP1 3m/Transect7/P6060992.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.848404,NV/Hastings LTMP1 3m/Transect7/P6060989.JPG,3,Hastings LTMP1 3m,SPONGE,0.5,0.5
0.994403,NV/Hastings LTMP1 3m/Transect7/P6060992.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.494822,NV/Hastings LTMP1 3m/Transect7/P6060995.JPG,2,Hastings LTMP1 3m,OTHER,0.25,0.75
0.862203,NV/Hastings LTMP1 3m/Transect7/P6060993.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.958902,NV/Hastings LTMP1 3m/Transect7/P6060986.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.427085,NV/Hastings LTMP1 3m/Transect7/P6060988.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.988729,NV/Hastings LTMP1 3m/Transect7/P6060991.JPG,4,Hastings LTMP1 3m,HARD CORAL,0.75,0.25
0.752425,NV/Hastings LTMP1 3m/Transect7/P6060998.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.402037,NV/Hastings LTMP1 3m/Transect7/P6060986.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.732338,NV/Hastings LTMP1 3m/Transect7/P6060993.JPG,5,Hastings LTMP1 3m,OTHER,0.75,0.75
0.839312,NV/Hastings LTMP1 3m/Transect7/P6060985.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.647016,NV/Hastings LTMP1 3m/Transect7/P6060989.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.987941,NV/Hastings LTMP1 3m/Transect7/P6060990.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.669031,NV/Hastings LTMP1 3m/Transect7/P6060986.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.990113,NV/Hastings LTMP1 3m/Transect7/P6060991.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.606677,NV/Hastings LTMP1 3m/Transect7/P6060991.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.858595,NV/Hastings LTMP1 3m/Transect7/P6060991.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.534352,NV/Hastings LTMP1 3m/Transect7/P6060992.JPG,5,Hastings LTMP1 3m,HARD CORAL,0.75,0.75
0.589502,NV/Hastings LTMP1 3m/Transect7/P6060989.JPG,2,Hastings LTMP1 3m,OTHER,0.25,0.75
0.877138,NV/Hastings LTMP1 3m/Transect7/P6060985.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.574186,NV/Hastings LTMP1 3m/Transect7/P6060985.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.521022,NV/Hastings LTMP1 3m/Transect7/P6060995.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.809033,NV/Hastings LTMP1 3m/Transect7/P6060988.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.612435,NV/Hastings LTMP1 3m/Transect7/P6060994.JPG,4,Hastings LTMP1 3m,SPONGE,0.75,0.25
0.700818,NV/Hastings LTMP1 3m/Transect7/P6060991.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.581753,NV/Hastings LTMP1 3m/Transect7/P6060986.JPG,3,Hastings LTMP1 3m,OTHER,0.5,0.5
0.683912,NV/Hastings LTMP1 3m/Transect7/P6060988.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.793061,NV/Hastings LTMP1 3m/Transect7/P6060988.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.562296,NV/Hastings LTMP1 3m/Transect7/P6060998.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.976746,NV/Hastings LTMP1 3m/Transect7/P6060990.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.665017,NV/Hastings LTMP1 3m/Transect7/P6060994.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.852103,NV/Hastings LTMP1 3m/Transect5/P6061055.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.565688,NV/Hastings LTMP1 3m/Transect5/P6061044.JPG,5,Hastings LTMP1 3m,SOFT CORAL,0.75,0.75
0.346358,NV/Hastings LTMP1 3m/Transect5/P6061055.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.810412,NV/Hastings LTMP1 3m/Transect5/P6061044.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.925568,NV/Hastings LTMP1 3m/Transect5/P6061052.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.623104,NV/Hastings LTMP1 3m/Transect5/P6061054.JPG,5,Hastings LTMP1 3m,SOFT CORAL,0.75,0.75
0.882563,NV/Hastings LTMP1 3m/Transect5/P6061048.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.986359,NV/Hastings LTMP1 3m/Transect5/P6061043.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.990085,NV/Hastings LTMP1 3m/Transect5/P6061050.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.775322,NV/Hastings LTMP1 3m/Transect5/P6061044.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.476808,NV/Hastings LTMP1 3m/Transect5/P6061050.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.399357,NV/Hastings LTMP1 3m/Transect5/P6061052.JPG,5,Hastings LTMP1 3m,SPONGE,0.75,0.75
0.660895,NV/Hastings LTMP1 3m/Transect5/P6061049.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.560429,NV/Hastings LTMP1 3m/Transect5/P6061048.JPG,5,Hastings LTMP1 3m,SOFT CORAL,0.75,0.75
0.904148,NV/Hastings LTMP1 3m/Transect5/P6061053.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.669028,NV/Hastings LTMP1 3m/Transect5/P6061048.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.969181,NV/Hastings LTMP1 3m/Transect5/P6061046.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.696536,NV/Hastings LTMP1 3m/Transect5/P6061049.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.80863,NV/Hastings LTMP1 3m/Transect5/P6061058.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.459554,NV/Hastings LTMP1 3m/Transect5/P6061054.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.39333,NV/Hastings LTMP1 3m/Transect5/P6061046.JPG,1,Hastings LTMP1 3m,HARD CORAL,0.25,0.25
0.970663,NV/Hastings LTMP1 3m/Transect5/P6061049.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.33307,NV/Hastings LTMP1 3m/Transect5/P6061058.JPG,5,Hastings LTMP1 3m,OTHER,0.75,0.75
0.617646,NV/Hastings LTMP1 3m/Transect5/P6061043.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.793419,NV/Hastings LTMP1 3m/Transect5/P6061058.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.348046,NV/Hastings LTMP1 3m/Transect5/P6061052.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.592109,NV/Hastings LTMP1 3m/Transect5/P6061048.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.882235,NV/Hastings LTMP1 3m/Transect5/P6061044.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.942132,NV/Hastings LTMP1 3m/Transect5/P6061046.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.824657,NV/Hastings LTMP1 3m/Transect5/P6061049.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.9348,NV/Hastings LTMP1 3m/Transect5/P6061055.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.967133,NV/Hastings LTMP1 3m/Transect5/P6061043.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.90908,NV/Hastings LTMP1 3m/Transect5/P6061053.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.481097,NV/Hastings LTMP1 3m/Transect5/P6061050.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.792966,NV/Hastings LTMP1 3m/Transect5/P6061058.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.841928,NV/Hastings LTMP1 3m/Transect5/P6061043.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.781859,NV/Hastings LTMP1 3m/Transect5/P6061053.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.73777,NV/Hastings LTMP1 3m/Transect5/P6061050.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.636539,NV/Hastings LTMP1 3m/Transect5/P6061052.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.494002,NV/Hastings LTMP1 3m/Transect5/P6061053.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.491521,NV/Hastings LTMP1 3m/Transect5/P6061046.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.60208,NV/Hastings LTMP1 3m/Transect5/P6061050.JPG,2,Hastings LTMP1 3m,HARD CORAL,0.25,0.75
0.704967,NV/Hastings LTMP1 3m/Transect5/P6061054.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.559021,NV/Hastings LTMP1 3m/Transect5/P6061049.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.460346,NV/Hastings LTMP1 3m/Transect5/P6061044.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.537913,NV/Hastings LTMP1 3m/Transect5/P6061048.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.782121,NV/Hastings LTMP1 3m/Transect5/P6061053.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.904941,NV/Hastings LTMP1 3m/Transect5/P6061058.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.657854,NV/Hastings LTMP1 3m/Transect5/P6061054.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.419209,NV/Hastings LTMP1 3m/Transect5/P6061052.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.564666,NV/Hastings LTMP1 3m/Transect5/P6061055.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.662534,NV/Hastings LTMP1 3m/Transect5/P6061046.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.530816,NV/Hastings LTMP1 3m/Transect5/P6061043.JPG,4,Hastings LTMP1 3m,OTHER,0.75,0.25
0.305132,NV/Hastings LTMP1 3m/Transect5/P6061054.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.811714,NV/Hastings LTMP1 3m/Transect5/P6061055.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.939826,NV/Hastings LTMP1 3m/Transect6/P6060981.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.511096,NV/Hastings LTMP1 3m/Transect6/P6060978.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.594984,NV/Hastings LTMP1 3m/Transect6/P6060963.JPG,5,Hastings LTMP1 3m,OTHER,0.75,0.75
0.607351,NV/Hastings LTMP1 3m/Transect6/P6060951.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.99575,NV/Hastings LTMP1 3m/Transect6/P6060973.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.662502,NV/Hastings LTMP1 3m/Transect6/P6060955.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.672376,NV/Hastings LTMP1 3m/Transect6/P6060966.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.868308,NV/Hastings LTMP1 3m/Transect6/P6060983.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.573541,NV/Hastings LTMP1 3m/Transect6/P6060950.JPG,1,Hastings LTMP1 3m,HARD CORAL,0.25,0.25
0.991085,NV/Hastings LTMP1 3m/Transect6/P6060956.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.613396,NV/Hastings LTMP1 3m/Transect6/P6060950.JPG,4,Hastings LTMP1 3m,HARD CORAL,0.75,0.25
0.919464,NV/Hastings LTMP1 3m/Transect6/P6060968.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.992337,NV/Hastings LTMP1 3m/Transect6/P6060977.JPG,4,Hastings LTMP1 3m,HARD CORAL,0.75,0.25
0.671459,NV/Hastings LTMP1 3m/Transect6/P6060977.JPG,5,Hastings LTMP1 3m,HARD CORAL,0.75,0.75
0.960888,NV/Hastings LTMP1 3m/Transect6/P6060983.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.559989,NV/Hastings LTMP1 3m/Transect6/P6060974.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.415449,NV/Hastings LTMP1 3m/Transect6/P6060955.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.697552,NV/Hastings LTMP1 3m/Transect6/P6060974.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.837195,NV/Hastings LTMP1 3m/Transect6/P6060977.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.40709,NV/Hastings LTMP1 3m/Transect6/P6060963.JPG,1,Hastings LTMP1 3m,OTHER,0.25,0.25
0.390747,NV/Hastings LTMP1 3m/Transect6/P6060963.JPG,2,Hastings LTMP1 3m,SPONGE,0.25,0.75
0.490067,NV/Hastings LTMP1 3m/Transect6/P6060955.JPG,1,Hastings LTMP1 3m,OTHER,0.25,0.25
0.832027,NV/Hastings LTMP1 3m/Transect6/P6060966.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.74592,NV/Hastings LTMP1 3m/Transect6/P6060983.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.602237,NV/Hastings LTMP1 3m/Transect6/P6060973.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.999507,NV/Hastings LTMP1 3m/Transect6/P6060956.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.358273,NV/Hastings LTMP1 3m/Transect6/P6060963.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.524794,NV/Hastings LTMP1 3m/Transect6/P6060950.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.930614,NV/Hastings LTMP1 3m/Transect6/P6060966.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.375102,NV/Hastings LTMP1 3m/Transect6/P6060974.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.954692,NV/Hastings LTMP1 3m/Transect6/P6060950.JPG,2,Hastings LTMP1 3m,HARD CORAL,0.25,0.75
0.896701,NV/Hastings LTMP1 3m/Transect6/P6060951.JPG,3,Hastings LTMP1 3m,OTHER,0.5,0.5
0.507094,NV/Hastings LTMP1 3m/Transect6/P6060956.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.638844,NV/Hastings LTMP1 3m/Transect6/P6060968.JPG,4,Hastings LTMP1 3m,HARD CORAL,0.75,0.25
0.852737,NV/Hastings LTMP1 3m/Transect6/P6060981.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.553102,NV/Hastings LTMP1 3m/Transect6/P6060951.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.965294,NV/Hastings LTMP1 3m/Transect6/P6060977.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.632073,NV/Hastings LTMP1 3m/Transect6/P6060978.JPG,5,Hastings LTMP1 3m,OTHER,0.75,0.75
0.49899,NV/Hastings LTMP1 3m/Transect6/P6060977.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.591302,NV/Hastings LTMP1 3m/Transect6/P6060981.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.72526,NV/Hastings LTMP1 3m/Transect6/P6060955.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.999522,NV/Hastings LTMP1 3m/Transect6/P6060950.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.640421,NV/Hastings LTMP1 3m/Transect6/P6060966.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.487107,NV/Hastings LTMP1 3m/Transect6/P6060968.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.800631,NV/Hastings LTMP1 3m/Transect6/P6060951.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.497447,NV/Hastings LTMP1 3m/Transect6/P6060983.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.944806,NV/Hastings LTMP1 3m/Transect6/P6060968.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.75029,NV/Hastings LTMP1 3m/Transect6/P6060956.JPG,5,Hastings LTMP1 3m,SOFT CORAL,0.75,0.75
0.563432,NV/Hastings LTMP1 3m/Transect6/P6060955.JPG,5,Hastings LTMP1 3m,SPONGE,0.75,0.75
0.453403,NV/Hastings LTMP1 3m/Transect6/P6060978.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.901007,NV/Hastings LTMP1 3m/Transect6/P6060974.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
